fluid_id,altura,tempo,concentracao,regime
7,18.0,29,0.003099379161312239,0
7,18.0,33,0.0026214114382757682,0
7,18.0,34,0.0024843888012499754,0
7,18.0,35,0.0028156898688697237,0
7,18.0,36,0.0024449442540244045,0
7,18.0,37,0.003148459170039019,1
7,18.0,40,0.0030013030445523296,0
7,18.0,41,0.0029630550807908987,0
7,18.0,42,0.002814194938089711,0
7,18.0,43,0.0028635171694357526,0
7,18.0,44,0.002982689997407625,0
7,18.0,47,0.0029362210851625217,0
7,18.0,48,0.00312127145150665,0
7,18.0,49,0.002912180296317493,0
7,18.0,50,0.003270497106169643,0
7,20.0,1,0.1179156995958644,1
7,20.0,2,0.0027141221433624025,2
7,20.0,3,0.0026277883765009956,0
7,20.0,5,0.0018333592357219174,0
7,20.0,6,0.001841543302524979,0
7,20.0,7,0.0019773474016185834,0
7,20.0,8,0.000826828211339654,1
7,20.0,9,0.0020147907994105953,1
7,20.0,10,0.0025667267539136703,1
7,20.0,12,0.002620927035747454,0
7,20.0,13,0.0023246124243044186,0
7,20.0,14,0.0027263937186726554,0
7,20.0,15,0.0023755027863742247,0
7,20.0,16,0.0026889078371620523,0
7,20.0,19,0.0028944551460712326,0
7,20.0,20,0.0027410649751256357,0
7,20.0,21,0.0026165984159920463,0
7,20.0,22,0.0030825186288989744,0
7,20.0,23,0.002695172487824584,0
7,20.0,26,0.0026743136344510882,0
7,20.0,27,0.002959088869085341,0
7,20.0,28,0.003001280213360371,0
7,20.0,29,0.00298184979372723,0
7,20.0,33,0.0028760666994602194,0
7,20.0,34,0.0030717820370222393,0
7,20.0,35,0.002974199950474894,0
7,20.0,36,0.0028406570986427566,0
7,20.0,37,0.0030727718575388144,0
7,20.0,40,0.003236677653195088,0
7,20.0,41,0.0029537571940686153,0
7,20.0,42,0.0031004229335952946,0
7,20.0,43,0.0031156812252437424,0
7,20.0,44,0.003068380252090342,0
7,20.0,47,0.003048611439880154,0
7,20.0,48,0.0031021905879295504,0
7,20.0,49,0.002965285876321403,0
7,20.0,50,0.003236661835091767,0
7,23.0,1,0.11805995230587757,1
7,23.0,2,0.0025931919029280456,2
7,23.0,3,0.0028461900677274506,0
7,23.0,5,0.0020136147965564327,0
7,23.0,6,0.0022200962273829063,0
7,23.0,7,0.0017092090474278216,1
7,23.0,8,0.0010042180114466913,1
7,23.0,9,0.002456730988117137,1
7,23.0,10,0.002851067472721468,0
7,23.0,12,0.0025927104796658732,0
7,23.0,13,0.002101145106570456,0
7,23.0,14,0.0028256326689075715,1
7,23.0,15,0.0025668560873166654,0
7,23.0,16,0.002791538906544107,0
7,23.0,19,0.002670685353023524,0
7,23.0,20,0.002850352286955477,0
7,23.0,21,0.0029398200034953218,0
7,23.0,22,0.002881896702812541,0
7,23.0,23,0.00290217555469016,0
7,23.0,26,0.002806188723847088,0
7,23.0,27,0.002864577104714558,0
7,23.0,28,0.00325451665484355,0
7,23.0,29,0.0028860960609011625,0
7,23.0,33,0.002850284022979027,0
7,23.0,34,0.0027295704470394247,0
7,23.0,35,0.002794510123478464,0
7,23.0,36,0.002836826371806749,0
7,23.0,37,0.003024538491031107,0
7,23.0,40,0.0029852354465673323,0
7,23.0,41,0.0029976190667894936,0
7,23.0,42,0.0030679294814553366,0
7,23.0,43,0.003177671491692596,0
7,23.0,44,0.0030150477314292035,0
7,23.0,47,0.002948336172516945,0
7,23.0,48,0.0031440193262346518,0
7,23.0,49,0.003586212808692277,0
7,23.0,50,0.0032120000901162305,0
8,0.5,1,0.18456973825956705,1
8,0.5,2,0.1881088442985309,1
8,0.5,4,0.21470724344303804,1
8,0.5,5,0.21840572271498615,1
8,0.5,6,0.22165319824226284,1
8,0.5,7,0.21916874161640432,2
8,0.5,8,0.2259282069197849,1
8,0.5,9,0.22750157293376785,1
8,0.5,11,0.22742750546104365,0
8,0.5,12,0.22656104870704707,1
8,0.5,13,0.22909019771256345,1
8,0.5,14,0.22798123913504506,1
8,0.5,15,0.23241557404149063,1
8,0.5,18,0.23218724057597448,0
8,0.5,19,0.23323564630725022,1
8,0.5,20,0.23322132722784214,0
8,0.5,21,0.2323594786998701,1
8,0.5,22,0.23282098992251998,0
8,0.5,25,0.2345538281926025,1
8,0.5,26,0.2360222258962188,1
8,0.5,27,0.2353873022364181,1
8,0.5,28,0.23651923765719207,1
8,0.5,32,0.23772639985551078,0
8,0.5,33,0.24104387388058923,1
8,0.5,34,0.2388284451432023,2
8,0.5,35,0.2469074603501299,1
8,0.5,36,0.24317266366831639,2
8,0.5,39,0.24311626510037068,0
8,0.5,40,0.2459061606033728,1
8,0.5,41,0.24288794325389837,2
8,0.5,42,0.24340724172189118,1
8,0.5,43,0.2436452802108968,0
8,0.5,46,0.2476431933583706,1
8,0.5,47,0.24706318213288392,1
8,0.5,48,0.24813995210383416,1
8,0.5,49,0.24623163372325865,1
8,0.5,50,0.24852229536080098,1
8,2.0,1,0.18515636158543092,1
8,2.0,2,0.18996264614592176,1
8,2.0,4,0.19736699751239672,1
8,2.0,5,0.20458271054972663,1
8,2.0,6,0.2090203869940156,1
8,2.0,7,0.20940846594143614,0
8,2.0,8,0.217043043755085,1
8,2.0,9,0.22047353953719792,1
8,2.0,11,0.22333150387094128,1
8,2.0,12,0.22123962088309745,2
8,2.0,13,0.22317898639975953,1
8,2.0,14,0.22474918181060835,1
8,2.0,15,0.22462431227404886,0
8,2.0,18,0.2253659629828455,0
8,2.0,19,0.22690493310618895,1
8,2.0,20,0.22903859964060422,1
8,2.0,21,0.22877383291471234,0
8,2.0,22,0.23046125933137399,1
8,2.0,25,0.22879964207999093,1
8,2.0,26,0.23068371536755616,1
8,2.0,27,0.23084713260202525,0
8,2.0,28,0.2305400008454319,0
8,2.0,32,0.23294386891617924,1
8,2.0,33,0.23161846640208525,1
8,2.0,34,0.23178373365808633,0
8,2.0,35,0.23052372459317025,1
8,2.0,36,0.23207516763096825,1
8,2.0,39,0.23423856894477457,1
8,2.0,40,0.2338881638284931,0
8,2.0,41,0.23309577778350013,1
8,2.0,42,0.2350730268230302,1
8,2.0,43,0.2352059608002879,0
8,2.0,46,0.23542623690213507,0
8,2.0,47,0.23105098631650264,2
8,2.0,48,0.233895806199487,1
8,2.0,49,0.2336981625914107,0
8,2.0,50,0.2341212236007467,0
8,4.0,1,0.18394485320544732,1
8,4.0,2,0.187715152868879,1
8,4.0,4,0.18913238700576337,1
8,4.0,5,0.19293430524928576,1
8,4.0,6,0.19664031067232482,1
8,4.0,7,0.19807971575544822,1
8,4.0,8,0.20511561900664554,1
8,4.0,9,0.21088712940169319,1
8,4.0,11,0.2144463645726474,1
8,4.0,12,0.2156216455815333,1
